id,tenantID,firstname,lastname,email,phone,gender,nationality,maritalStatus,passportNumber,visaCategory,currentAddress,permanentAddress,highestQualification,fieldOfStudy,institutionName,graduationYear,grade,testType,testScore,countryOfInterest,courseOfInterest,desiredFieldOfStudy,preferredInstitutions,intakeSession,reasonForImmigration,financialSupport,sponsorDetails,scholarships,communicationMode,preferredContactTime,leadSource,referralContact,leadStatus,leadRating,created_at,updated_at,leadHistory,userID,district,state,city,country,pincode,dob,passportExpiry,followUpDates
0e8b7648-57cb-4c51-b0b8-cf611437c005,ae7e99ac-4602-4fb9-a9c1-80b92a56b7c3,Rakesh,Kumar,rakesh@gmail.com,+1 9898989898,male,indian,single,,tourist_visa,india,india,BA,,,,,,,,,,,,,,,,,,,,pending,,2024-09-06 15:07:34.86+05:30,2024-09-06 15:07:34.86+05:30,"[{""action"": ""Created"", ""details"": {}, ""timestamp"": ""2024-09-06T09:37:34.855Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": null, ""upcomingStatus"": ""new"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-06T09:37:38.142Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""new"", ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-06T09:37:44.920Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""inprogress"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-16T08:43:28.939Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""inprogress"", ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-17T04:57:33.038Z""}, {""action"": ""Lead assigned successfully"", ""details"": {""assignedAgents"": [""b15f45c0-519e-4dd4-9ad2-8e470c013a5e""]}, ""timestamp"": ""2024-09-20T07:37:14.651Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-03T08:39:58.338Z""}]",d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2024-05-12 00:00:00+05:30,2024-05-10 00:00:00+05:30,2024-05-12 00:00:00+05:30
5f950682-f797-431c-afa9-7fa511dfc0fc,ae7e99ac-4602-4fb9-a9c1-80b92a56b7c3,Rakesh Kumar ,Sharma,rakesh@gmail.com,+91 9898989898,male,indian,single,A2323232,work_visa,Mall Road Delhi,Mall Road Delhi,BA,Arts,National college,2023,9,ilets,6.5,Canada,Management,MA,International University,september,Passport Expiry,yes,No,Yes,Call,9 to 5,Website,No,inprogress,5,2024-09-06 15:07:34.86+05:30,2024-09-06 15:07:34.86+05:30,"[{""action"": ""Created"", ""details"": {}, ""timestamp"": ""2024-09-06T09:37:34.857Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": null, ""upcomingStatus"": ""completed"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-06T09:37:48.598Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-06T09:39:38.914Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-06T09:39:39.417Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-06T09:40:01.701Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-06T09:40:08.498Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-06T09:41:52.032Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-06T09:41:58.323Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-07T09:16:40.264Z""}, {""action"": ""Lead assigned successfully"", ""details"": {""assignedAgents"": [""b15f45c0-519e-4dd4-9ad2-8e470c013a5e""]}, ""timestamp"": ""2024-09-09T09:45:08.485Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""completed"", ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-17T04:57:33.032Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""completed"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-17T04:58:01.186Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""completed"", ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-17T07:29:20.933Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""inprogress"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-17T07:29:38.222Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-03T08:38:15.275Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-04T06:15:21.588Z""}]",d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2003-04-23 00:00:00+05:30,2024-06-29 00:00:00+05:30,2024-09-24 00:00:00+05:30
798f2a2b-d97e-409a-b208-00f6f50c9b99,ae7e99ac-4602-4fb9-a9c1-80b92a56b7c3,Rakesh Kumar ,Sharma,rakesh@gmail.com,9898989898,male,indian,single,2323232323,student_visa,Mall Road Delhi,Mall Road Delhi,BA,Arts,National college,2023,9,ilets,6.5,Canada,Management,MA,International University,september,Passport Expiry,yes,No,Yes,Call,9 to 5,Website,No,new,5,2024-09-20 14:58:15.46+05:30,2024-09-20 14:58:15.46+05:30,"[{""action"": ""Created"", ""details"": {}, ""timestamp"": ""2024-09-20T09:28:15.455Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-20T09:34:01.391Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": null, ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-20T10:45:25.006Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""new"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-20T10:45:57.261Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""new"", ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-20T10:46:46.363Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""new"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-20T11:16:44.852Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""new"", ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-21T10:59:35.870Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""new"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-21T10:59:45.251Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""new"", ""upcomingStatus"": ""inprogress"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-23T06:32:01.251Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""inprogress"", ""upcomingStatus"": ""new"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-23T06:32:10.803Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""new"", ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-02T04:24:54.794Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""new"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-02T04:25:12.942Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-03T08:41:40.946Z""}]",d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2003-04-10 00:00:00+05:30,2024-06-29 00:00:00+05:30,2024-06-13 00:00:00+05:30
99250bc9-7018-432d-93e1-c901b78f3dc5,ae7e99ac-4602-4fb9-a9c1-80b92a56b7c3,Rakesh,Kumar,rakesh@gmail.com,9898989898,male,indian,single,,student_visa,india,india,BA,,,,,,,,,,,,,,,,,,,,pending,,2024-09-11 12:00:24.48+05:30,2024-09-11 12:00:24.48+05:30,"[{""action"": ""Created"", ""details"": {}, ""timestamp"": ""2024-09-11T06:30:24.478Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-12T06:26:38.922Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": null, ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-13T06:44:16.890Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""completed"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-17T04:58:01.208Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""completed"", ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-17T07:29:20.961Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-03T08:40:59.055Z""}]",d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2024-05-11 00:00:00+05:30,2024-05-25 00:00:00+05:30,2024-05-25 00:00:00+05:30
cb23c097-133a-4090-b03d-0a70bc042c72,ae7e99ac-4602-4fb9-a9c1-80b92a56b7c3,Rakesh,Kumar,rakesh@gmail.com,9898989898,male,indian,single,,tourist_visa,india,india,BA,,,,,,,,,,,,,,,,,,,,pending,,2024-09-11 12:00:24.48+05:30,2024-09-11 12:00:24.48+05:30,"[{""action"": ""Created"", ""details"": {}, ""timestamp"": ""2024-09-11T06:30:24.477Z""}, {""action"": ""Lead assigned successfully"", ""details"": {""assignedAgents"": [""b15f45c0-519e-4dd4-9ad2-8e470c013a5e""]}, ""timestamp"": ""2024-09-11T06:30:58.069Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": null, ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-11T06:31:05.246Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""inprogress"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-17T04:58:43.872Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""inprogress"", ""upcomingStatus"": ""completed"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-17T04:58:47.716Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""completed"", ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-17T07:29:20.979Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-03T08:40:12.697Z""}]",d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2024-05-12 00:00:00+05:30,2024-05-10 00:00:00+05:30,2024-05-12 00:00:00+05:30
dca173f4-db88-453e-9598-f33cfe4aa02a,ae7e99ac-4602-4fb9-a9c1-80b92a56b7c3,test,test,test@gmail.com,+91 9999999998,Male,Indian,Single,NULL,student_visa,test,test,test,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,direct,NULL,inprogress,NULL,2024-09-06 15:16:20.217+05:30,2024-09-06 15:16:20.217+05:30,"[{""action"": ""Created"", ""details"": {}, ""timestamp"": ""2024-09-06T09:46:20.215Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": null, ""upcomingStatus"": ""inprogress"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-06T11:10:49.922Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-03T08:40:36.111Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-04T06:26:13.790Z""}]",d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,NULL,NULL,NULL,NULL,100000,2024-09-01 00:00:00+05:30,2024-09-27 00:00:00+05:30,2024-09-27 00:00:00+05:30
e496ee1b-09b5-46f0-9fc5-6840cd0aac2e,ae7e99ac-4602-4fb9-a9c1-80b92a56b7c3,Rakesh,Kumar,rakesh@gmail.com,9898989898,male,indian,single,,tourist_visa,india,india,BA,,,,,,,,,,,,,,,,,,,,new,,2024-09-20 14:58:15.46+05:30,2024-09-20 14:58:15.46+05:30,"[{""action"": ""Created"", ""details"": {}, ""timestamp"": ""2024-09-20T09:28:15.454Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-03T08:40:22.610Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": null, ""upcomingStatus"": ""new"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-03T09:10:10.532Z""}]",d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2024-05-12 00:00:00+05:30,2024-05-10 00:00:00+05:30,2024-05-12 00:00:00+05:30
eb213aa6-b261-4b3d-b3fe-6cd96da2336c,ae7e99ac-4602-4fb9-a9c1-80b92a56b7c3,Rakesh,Kumar,rakesh@gmail.com,9898989898,male,indian,single,,student_visa,india,india,BA,,,,,,,,,,,,,,,,,,,,new,,2024-09-20 10:38:24.706+05:30,2024-09-20 10:38:24.706+05:30,"[{""action"": ""Created"", ""details"": {}, ""timestamp"": ""2024-09-20T05:08:24.694Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-20T05:48:23.232Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": null, ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-20T10:45:24.995Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""new"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-20T10:45:57.256Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""new"", ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-20T10:46:46.360Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""new"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-20T11:16:44.840Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""new"", ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-21T10:59:35.867Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""new"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-21T10:59:45.249Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""new"", ""upcomingStatus"": ""inprogress"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-23T06:32:01.250Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""inprogress"", ""upcomingStatus"": ""new"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-23T06:32:10.800Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""new"", ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-02T04:24:54.789Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""new"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-02T04:25:12.940Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""new"", ""upcomingStatus"": ""new"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-03T04:46:11.856Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""new"", ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-03T04:46:13.995Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""new"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-03T04:46:16.647Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-03T08:41:19.130Z""}]",d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2024-05-11 00:00:00+05:30,2024-05-25 00:00:00+05:30,2024-05-25 00:00:00+05:30
f315c26e-bac8-4ddd-b6b4-8b146dac94d4,ae7e99ac-4602-4fb9-a9c1-80b92a56b7c3,Rakesh Kumar ,Sharma,rakesh@gmail.com,9898989898,male,indian,single,2323232323,student_visa,Mall Road Delhi,Mall Road Delhi,BA,Arts,National college,2023,9,ilets,6.5,Canada,Management,MA,International University,september,Passport Expiry,yes,No,Yes,Call,9 to 5,Website,No,completed,5,2024-09-11 12:00:24.48+05:30,2024-09-11 12:00:24.48+05:30,"[{""action"": ""Created"", ""details"": {}, ""timestamp"": ""2024-09-11T06:30:24.478Z""}, {""action"": ""Lead assigned successfully"", ""details"": {""assignedAgents"": [""b15f45c0-519e-4dd4-9ad2-8e470c013a5e""]}, ""timestamp"": ""2024-09-11T11:51:19.847Z""}, {""action"": ""Lead unassigned successfully"", ""details"": {""assignedAgents"": []}, ""timestamp"": ""2024-09-11T11:51:27.029Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-12T06:26:50.168Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": null, ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-12T10:04:39.467Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""completed"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-17T04:58:01.194Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""completed"", ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-17T07:29:20.968Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""completed"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-09-17T07:29:41.193Z""}, {""action"": ""Updated"", ""details"": {""updatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-03T08:41:09.710Z""}]",d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,Faridkot,Punjab,Kotkapura,India,151204,2003-04-10 00:00:00+05:30,2024-06-29 00:00:00+05:30,2024-06-13 00:00:00+05:30
fd030782-e16d-45bb-bd0c-5c9027b5ee20,ae7e99ac-4602-4fb9-a9c1-80b92a56b7c3,test,test,test@gmail.com,+91 9898989898,male,indian,Single,,work_visa,test,test,test,test,,,,,,India,,,,,,,,,,,,,new,,2024-10-03 16:28:14.409311+05:30,2024-10-03 16:28:14.409311+05:30,"[{""action"": ""Created"", ""details"": {""createdBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-03T10:58:14.403Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": null, ""upcomingStatus"": ""pending"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-03T10:58:24.303Z""}, {""action"": ""Status Updated"", ""details"": {""previousStatus"": ""pending"", ""upcomingStatus"": ""new"", ""statusUpdatedBy"": ""d3a9c4d4-50d4-469e-ada6-cb44b9f2352c""}, ""timestamp"": ""2024-10-08T08:01:16.507Z""}]",d3a9c4d4-50d4-469e-ada6-cb44b9f2352c,null,null,null,null,,2024-10-01 00:00:00+05:30,2024-06-29 00:00:00+05:30,2024-10-16 00:00:00+05:30
